Its a Ray
-0.134344 0.0952536 0.0520958 -0.127652 0.07399 0.1088
Its a Segment
-0.134344 0.0952536 0.0520958 0.16673 0.019964 -0.612901
-0.0877256 0.112462 0.0226926 
-0.0887986 0.114294 0.0264066 
-0.0892259 0.113441 0.0323782 
-0.089106 0.114375 0.0298659 
-0.089228 0.114813 0.0276717 
-0.08472 0.111015 0.033569 
-0.0885535 0.112746 0.0331115 
-0.0878261 0.11219 0.0337097 
-0.0855432 0.111388 0.0330811 
-0.0890756 0.0982905 0.00941744 
-0.0892011 0.0983026 0.0104143 
-0.0893331 0.0983151 0.0114073 
-0.0888763 0.0982745 0.00841224 
-0.0889571 0.0955775 0.00843273 
-0.0890892 0.0955882 0.00942496 
-0.0891519 0.0956005 0.0104313 
-0.0892111 0.0956026 0.0114219 
-0.0888771 0.100994 0.011394 
-0.0888256 0.100978 0.0104077 
-0.0889751 0.0969295 0.00842099 
-0.0892038 0.0969467 0.00941895 
-0.0893298 0.0969555 0.0104169 
-0.0894422 0.0969694 0.0114146 
-0.0890962 0.0996533 0.0114017 
-0.0890383 0.09964 0.0104144 
-0.0888522 0.0996312 0.00941041 
-0.0886162 0.100967 0.00940891 
-0.0879726 0.100935 0.0073995 
-0.0883814 0.100948 0.00841627 
-0.0867205 0.102198 0.00542391 
-0.0876501 0.0954829 0.0054069 
-0.0882052 0.0955366 0.00643448 
-0.0875967 0.100907 0.00640641 
-0.0887371 0.0955614 0.00743378 
-0.0879813 0.0968653 0.0054141 
-0.088653 0.0982606 0.00741366 
-0.0883434 0.0968836 0.00640652 
-0.0883068 0.098239 0.00641854 
-0.087994 0.0981671 0.00544953 
-0.0887521 0.0969152 0.00742291 
-0.0887264 0.0996152 0.00841821 
-0.0876012 0.0995367 0.00546504 
-0.088041 0.0995721 0.00642464 
-0.08839 0.0995952 0.00742201 
-0.087069 0.100891 0.00537711 
-0.089164 0.0928946 0.0114433 
-0.0889341 0.0928773 0.0104474 
-0.0888371 0.0942243 0.00943852 
-0.0888687 0.0942285 0.0104297 
-0.0889746 0.0942393 0.0114303 
-0.088847 0.0874807 0.0104655 
-0.0889313 0.0875027 0.0114635 
-0.088793 0.0888086 0.00747102 
-0.0889223 0.0888194 0.00846703 
-0.0890554 0.0888307 0.00946144 
-0.0892473 0.0888575 0.0104669 
-0.0893459 0.0888735 0.0114634 
-0.0887995 0.0901451 0.00746775 
-0.0889579 0.0901579 0.00845534 
-0.0891635 0.0901786 0.00945748 
-0.0893735 0.0901981 0.0104595 
-0.0895062 0.0902087 0.0114561 
-0.0888303 0.0915034 0.00845607 
-0.0889791 0.0915153 0.00944503 
-0.0892801 0.091541 0.0104497 
-0.0894274 0.0915536 0.0114438 
-0.0879901 0.0928029 0.00642738 
-0.0875333 0.0927687 0.0054156 
-0.088725 0.0942104 0.00844208 
-0.0884108 0.0928321 0.00744302 
-0.0884983 0.0941957 0.00744581 
-0.0880011 0.0941555 0.00641769 
-0.0873547 0.094105 0.00537923 
-0.0887393 0.0928617 0.00944255 
-0.0886141 0.0928486 0.00844707 
-0.0883598 0.0874311 0.00547496 
-0.0884279 0.0874564 0.00647862 
-0.0884282 0.0874635 0.00747939 
-0.0884304 0.0874699 0.00847782 
-0.088608 0.0874693 0.0094764 
-0.0884641 0.0887716 0.00547605 
-0.0886025 0.0887878 0.00646717 
-0.0882504 0.0900881 0.0054683 
-0.0885745 0.0901142 0.00646846 
-0.0878883 0.0914318 0.00546674 
-0.0882379 0.0914593 0.00646904 
-0.0885869 0.0914877 0.00746285 
-0.0888501 0.102361 0.0153809 
-0.0887855 0.102363 0.0143842 
-0.0889838 0.099691 0.0193911 
-0.0888835 0.0983415 0.0204012 
-0.0891175 0.0983455 0.0194044 
-0.0891628 0.0942977 0.0214104 
-0.0890273 0.0956446 0.021399 
-0.0888328 0.0942898 0.0224093 
-0.0890914 0.0956431 0.0204208 
-0.0892037 0.0956419 0.0194144 
-0.0893861 0.0943037 0.0204146 
